CAT.1;CAT.2;CAT.Libellé;Détails;Code CG;Libellé;Rubrique du bilan;Préfixe du compte particulier;Référence code économique;Liaison
1;2;3;;17509;Remboursement des emprunts de préfinancement à échéance unique à charge de l'entité (emprunts de préfinancement à échéance unique inclus);VII'.A’.;040;O;0
1;2;3;;176;DETTES A PLUS D’UN AN - EMPRUNTS PUBLICS;;;;0
1;2;3;;17601;Emprunts publics;VII'.E’.;042;O;0
1;2;3;;17609;Remboursement des emprunts publics;VII'.E’.;042;O;0
1;2;3;;177;DETTES DIVERSES A PLUS D’UN AN;;;;0
1;2;3;;17701;Dettes diverses à plus d’un an;VII'.F’.;043;N;0
1;2;3;;17709;Remboursement des dettes diverses à plus d’un an;VII'.F’.;043;N;0
1;2;3;;178;CAUTIONNEMENTS RECUS (A PLUS D'UN AN);;;;0
1;2;3;;17800;Cautionnements à plus d’un an reçus en numéraire;VII'.G’.;043;N;0
1;2;3;;2;ACTIFS IMMOBILISES;;;;0
1;2;3;;20;FRAIS D'ETABLISSEMENT;;;;0
1;2;3;;20001;Frais de restructuration portés à l'actif;I.;05;O;0
1;2;3;;20009;Amortissement des frais de restructuration portés à l'actif;I.;05;N;0
1;2;3;;21;IMMOBILISATIONS INCORPORELLES;;;;0
1;2;3;;214;IMMOBILISATIONS INCORPORELLES, PLANS ET ETUDES;;;;0
1;2;3;;2141;Plans et études;;;;0
1;2;3;;21411;Plans d’aménagement, d’urbanisme et autres études;I.;05;N;0
1;2;3;;21419;Amortissement des plans d’aménagement, d’urbanisme et des autres études;I.;05;N;0
1;2;3;;2142;Plans et études abandonnés;;;;0
1;2;3;;21421;Plans et études abandonnés;I.;05;N;0
1;2;3;;21429;Amortissement des plans et études abandonnés;I.;05;N;0
1;2;3;;2143;Plans et études spécifiques;;;;0
1;2;3;;21431;Droits d'exploitation de lits;I.;05;O;0
1;2;3;;21439;Amortissement des droits d'exploitation de lits;I.;05;N;0
1;2;3;;21441;Droits mobiliers  (licences...);I.;05;O;0
1;2;3;;21449;Amortissement des droits mobiliers;I.;05;N;0
1;2;3;;22;PATRIMOINE IMMOBILIER;;;;0
1;2;3;;220;PATRIMOINE IMMOBILIER - TERRES ET TERRAINS NON BATIS ¹;;;;0
1;2;3;;2201;Terres agricoles;;;;0
1;2;3;;22011;Terres agricoles;II.A.;05;N;0
1;2;3;;22012;Equipement et maintenance extraordinaire des terres agricoles;II.A.;05;N;0
1;2;3;;22016;Réévaluation annuelle des terres agricoles;II.A.;05;N;0
1;2;3;;22017;Réévaluation exceptionnelle des terres agricoles;II.A.;05;N;0
1;2;3;;22018;Amortissement de l’équipement et de la maintenance extraordinaire des terres agricoles;II.A.;05;N;0
1;2;3;;2202;Terrains à bâtir non bâtis;;;;0
1;2;3;;22021;Terrains à bâtir non bâtis;II.A.;05;N;0
1;2;3;;22022;Equipement et maintenance extraordinaire des terrains à bâtir non bâtis;II.A.;05;N;0
1;2;3;;22026;Réévaluation annuelle des terrains à bâtir;II.A.;05;N;0
1;2;3;;22027;Réévaluation exceptionnelle des terrains à bâtir;II.A.;05;N;0
1;2;3;;22028;Amortissement de l’équipement et de la maintenance extraordinaire des terrains à bâtir non bâtis;II.A.;05;N;0
1;2;3;;2203;Terrains industriels;;;;0
1;2;3;;22031;Terrains industriels;II.A.;05;N;0
1;2;3;;22032;Equipement et maintenance extraordinaire des terrains industriels;II.A.;05;N;0
1;2;3;;22036;Réévaluation annuelle des terrains industriels;II.A.;05;N;0
1;2;3;;22037;Réévaluation exceptionnelle des terrains industriels;II.A.;05;N;0
1;2;3;;22038;Amortissement de l’équipement et de la maintenance extraordinaire des terrains industriels;II.A.;05;N;0
1;2;3;;2205;Terrains des parcs, jardins, plaines de jeux et de sports, cimetières;;;;0
1;2;3;;22051;Terrains des parcs, jardins, plaines de jeux et de sports, cimetières;II.A.;05;N;0
1;2;3;;22052;Equipement et maintenance extraordinaire des terrains des parcs, jardins, plaines de jeux et de sports, cimetières;II.A.;05;N;0
1;2;3;;22056;Réévaluation annuelle des terrains des parcs, jardins, plaines de jeux et de sports, cimetières;II.A.;05;N;0
1;2;3;;22057;Réévaluation exceptionnelle des terrains des parcs, jardins, plaines de jeux et de sports, cimetière;II.A.;05;N;0
1;2;3;;22058;Amortissement de l’équipement et de la maintenance extraordinaire des terrains des parcs, jardins, plaines de jeux et de sports, cimetières;II.A.;05;N;0
1;2;3;;2206;Terrains forestiers et réserves naturelles;;;;0
1;2;3;;22061;Terrains forestiers et réserves naturelles;II.A.;05;N;0
1;2;3;;22062;Equipement et maintenance extraordinaire des terrains forestiers et des réserves naturelles;II.A.;05;N;0
1;2;3;;22066;Réévaluation annuelle des terrains forestiers et des réserves naturelles;II.A.;05;N;0
1;2;3;;22067;Réévaluation exceptionnelle des terrains forestiers et des réserves naturelles;II.A.;05;N;0
1;2;3;;22068;Amortissement de l’équipement et de la maintenance extraordinaire des terrains forestiers et des réserves naturelles;II.A.;05;N;0
1;2;3;;2207;Bois sur pied;;;;0
1;2;3;;22071;Bois sur pied;II.A.;05;N;0
1;2;3;;22072;Maintenance extraordinaire des bois sur pied;II.A.;05;N;0
1;2;3;;22077;Réévaluation exceptionnelle des bois sur pied;II.A.;05;N;0
1;2;3;;22078;Amortissement de l’entretien extraordinaire des bois sur pied;II.A.;05;N;0
1;2;3;;2208;Plantations sur les terrains;;;;0
1;2;3;;22081;Plantations non amortissables sur les terrains;II.A.;05;N;0
1;2;3;;22082;Plantations sur terrains à amortir;II.A.;05;N;0
1;2;3;;22087;Réévaluation exceptionnelle des plantations sur les terrains;II.A.;05;N;0
1;2;3;;22088;Amortissement des plantations sur les terrains;II.A.;05;N;0
1;2;3;;2209;Autres terrains;;;;0
1;2;3;;22091;Autres terrains;II.A.;05;N;0
1;2;3;;22092;Equipement et maintenance extraordinaire des autres terrains;II.A.;05;N;0
1;2;3;;22096;Réévaluation annuelle des autres terrains;II.A.;05;N;0
1;2;3;;22097;Réévaluation exceptionnelle des autres terrains;II.A.;05;N;0
1;2;3;;22098;Amortissement de l’équipement et de la maintenance extraordinaire des autres terrains;II.A.;05;N;0
1;2;3;;221;PATRIMOINE IMMOBILIER - CONSTRUCTIONS ET LEURS TERRAINS;;;;0
1;2;3;;2211;Terrains des constructions;;;;0
1;2;3;;22111;Terrains des constructions;II.B.;05;N;0
1;2;3;;22112;Equipement et maintenance extraordinaire des terrains des constructions;II.B.;05;N;0
1;2;3;;22116;Réévaluation annuelle des terrains des constructions;II.B.;05;N;0
1;2;3;;22117;Réévaluation exceptionnelle des terrains des constructions;II.B.;05;N;0
1;2;3;;22118;Amortissement de l’équipement et de la maintenance extraordinaire des terrains des constructions;II.B.;05;N;0
1;2;3;;2212;Bâtiments administratifs;;;;0
1;2;3;;22121;Bâtiments administratifs;II.B.;05;N;0
1;2;3;;22122;Equipement et maintenance extraordinaire des bâtiments administratifs;II.B.;05;N;0
1;2;3;;22126;Réévaluation annuelle des bâtiments administratifs;II.B.;05;N;0
1;2;3;;22127;Réévaluation exceptionnelle des bâtiments administratifs;II.B.;05;N;0
1;2;3;;22128;Amortissement de l’équipement et de la maintenance extraordinaire des bâtiments administratifs;II.B.;05;N;0
1;2;3;;22129;Amortissement des bâtiments administratifs;II.B.;05;N;0
1;2;3;;2213;Bâtiments scolaires;;;;0
1;2;3;;22131;Bâtiments scolaires;II.B.;05;N;0
1;2;3;;22132;Equipement et maintenance extraordinaire des bâtiments scolaires;II.B.;05;N;0
1;2;3;;22136;Réévaluation annuelle des bâtiments scolaires;II.B.;05;N;0
1;2;3;;22137;Réévaluation exceptionnelle des bâtiments scolaires;II.B.;05;N;0
1;2;3;;22138;Amortissement de l’équipement et de la maintenance extraordinaire des bâtiments scolaires;II.B.;05;N;0
1;2;3;;22139;Amortissement des bâtiments scolaires;II.B.;05;N;0
1;2;3;;2214;Bâtiments industriels et d’exploitation;;;;0
1;2;3;;22141;Bâtiments industriels et d’exploitation;II.B.;05;N;0
1;2;3;;22142;Equipement et maintenance extraordinaire des bâtiments industriels et d’exploitation;II.B.;05;N;0
1;2;3;;22146;Réévaluation annuelle des bâtiments industriels et d’exploitation;II.B.;05;N;0
1;2;3;;22147;Réévaluation exceptionnelle des bâtiments industriels et d’exploitation;II.B.;05;N;0
1;2;3;;22148;Amortissement de l’équipement et de la maintenance extraordinaire des bâtiments industriels et d’exploitation;II.B.;05;N;0
1;2;3;;22149;Amortissement des bâtiments industriels et d’exploitation;II.B.;05;N;0
1;2;3;;2215;Bâtiments cultuels, culturels et sportifs;;;;0
1;2;3;;22151;Bâtiments cultuels, culturels et sportifs;II.B.;05;N;0
1;2;3;;22152;Equipement et maintenance extraordinaire des bâtiments cultuels, culturels et sportifs;II.B.;05;N;0
1;2;3;;22156;Réévaluation annuelle des bâtiments cultuels, culturels et sportifs;II.B.;05;N;0
1;2;3;;22157;Réévaluation exceptionnelle des bâtiments cultuels, culturels et sportifs;II.B.;05;N;0
1;2;3;;22158;Amortissement de l’équipement et de la maintenance extraordinaire des bâtiments cultuels, culturels et sportifs;II.B.;05;N;0
1;2;3;;22159;Amortissement des bâtiments cultuels, culturels et sportifs;II.B.;05;N;0
1;2;3;;2216;Bâtiments d'hébergement;;;;0
1;2;3;;22161;Achat ou constructions de bâtiments d’hébergement;II.B.;05;N;0
1;2;3;;22162;Equipement et maintenance extraordinaire des bâtiments d'hébergement;II.B.;05;N;0
1;2;3;;22166;Réévaluation annuelle des bâtiments d'hébergement;II.B.;05;N;0
1;2;3;;22167;Réévaluation exceptionnelle des bâtiments d'hébergement;II.B.;05;N;0
1;2;3;;22168;Amortissement de l'équipement et de la maintenance extraordinaire des bâtiments d'hébergement;II.B.;05;N;0
1;2;3;;22169;Amortissement des bâtiments d'hébergement;II.B.;05;N;0
1;2;3;;2218;Bâtiments non valorisés au bilan de départ et monuments;;;;0
1;2;3;;22181;Bâtiments sans destination spécifique non valorisés au bilan de départ et monuments;II.B.;05;N;0
1;2;3;;22182;Equipement et maintenance extraordinaire des bâtiments sans destination spécifique non valorisés au bilan de départ et monuments;II.B.;05;N;0
1;2;3;;22186;Réévaluation annuelle des bâtiments sans destination spécifique non valorisés au bilan de départ et monuments;II.B.;05;N;0
1;2;3;;22187;Réévaluation exceptionnelle des bâtiments sans destination spécifique non valorisés au bilan de départ et monuments;II.B.;05;N;0
1;2;3;;22188;Amortissement de l’équipement et de la maintenance extraordinaire des bâtiments sans destination spécifique non valorisés au bilan de départ et monuments;II.B.;05;N;0
1;2;3;;22189;Amortissement des bâtiments sans destination spécifique non valorisés au bilan de départ et monuments;II.B.;05;N;0
1;2;3;;2219;Autres bâtiments;;;;0
1;2;3;;22191;Autres bâtiments;II.B.;05;N;0
1;2;3;;22192;Equipement et maintenance extraordinaire des autres bâtiments;II.B.;05;N;0
1;2;3;;22196;Réévaluation annuelle des autres bâtiments;II.B.;05;N;0
1;2;3;;22197;Réévaluation exceptionnelle des autres bâtiments;II.B.;05;N;0
1;2;3;;22198;Amortissement de l’équipement et de la maintenance extraordinaire des autres bâtiments;II.B.;05;N;0
1;2;3;;22199;Amortissement des autres bâtiments;II.B.;05;N;0
1;2;3;;223;PATRIMOINE IMMOBILIER - VOIRIE;;;;0
1;2;3;;2231;Terrains de voirie;;;;0
1;2;3;;22311;Terrains de la voirie;II.C.;05;N;0
1;2;3;;22316;Réévaluation annuelle des terrains de la voirie;II.C.;05;N;0
1;2;3;;22317;Réévaluation exceptionnelle des terrains de la voirie;II.C.;05;N;0
1;2;3;;2232;Terrassements et empierrements de la voirie;;;;0
1;2;3;;22321;Terrassements et empierrements de la voirie;II.C.;05;N;0
1;2;3;;22322;Maintenance extraordinaire des terrassements et empierrements de la voirie;II.C.;05;N;0
1;2;3;;22328;Amortissement de la maintenance extraordinaire des terrassements et empierrements de la voirie;II.C.;05;N;0
1;2;3;;22329;Amortissement des terrassements et empierrements de la voirie;II.C.;05;N;0
1;2;3;;2233;Revêtements de la voirie;;;;0
1;2;3;;22331;Revêtements de la voirie (couche d’usure);II.C.;05;N;0
1;2;3;;22339;Amortissement du revêtement de la voirie;II.C.;05;N;0
1;2;3;;2234;Accessoires de voirie;;;;0
1;2;3;;22341;Accessoires de voirie;II.C.;05;N;0
1;2;3;;22342;Maintenance extraordinaire des accessoires de voirie;II.C.;05;N;0
1;2;3;;22348;Amortissement de la maintenance extraordinaire des accessoires de voirie;II.C.;05;N;0
1;2;3;;22349;Amortissement des accessoires de voirie;II.C.;05;N;0
1;2;3;;2235;Canalisations d’égouts;;;;0
1;2;3;;22351;Canalisations d’égouts;II.C.;05;N;0
1;2;3;;22352;Maintenance extraordinaire des canalisations d’égouts;II.C.;05;N;0
1;2;3;;22358;Amortissement de la maintenance extraordinaire des canalisations d’égouts;II.C.;05;N;0
1;2;3;;22359;Amortissement des canalisations d’égouts;II.C.;05;N;0
1;2;3;;2236;Canalisations d’eau;;;;0
1;2;3;;22361;Canalisations d’eau;II.C.;05;N;0
1;2;3;;22362;Maintenance extraordinaire des canalisations d’eau;II.C.;05;N;0
1;2;3;;22368;Amortissement de la maintenance extraordinaire des canalisations d’eau;II.C.;05;N;0
1;2;3;;22369;Amortissement des canalisations d’eau;II.C.;05;N;0
1;2;3;;2237;Autres canalisations;;;;0
1;2;3;;22371;Autres canalisations;II.C.;05;N;0
1;2;3;;22372;Maintenance extraordinaire des autres canalisations;II.C.;05;N;0
1;2;3;;22378;Amortissement de la maintenance extraordinaire des autres canalisations;II.C.;05;N;0
1;2;3;;22379;Amortissement des autres canalisations;II.C.;05;N;0
1;2;3;;2238;Eclairage public;;;;0
1;2;3;;22381;Eclairage public;II.C.;05;N;0
1;2;3;;22382;Maintenance extraordinaire de l’éclairage public;II.C.;05;N;0
1;2;3;;22388;Amortissement de la maintenance extraordinaire de l’éclairage public;II.C.;05;N;0
1;2;3;;22389;Amortissement de l’éclairage public;II.C.;05;N;0
1;2;3;;2239;Plantations de la voirie;;;;0
1;2;3;;22391;Plantations de voirie non amortissables;II.C.;05;N;0
1;2;3;;22392;Plantations de voirie à amortir;II.C.;05;N;0
1;2;3;;22397;Réévaluation exceptionnelle des plantations de voirie;II.C.;05;N;0
1;2;3;;22398;Amortissement des plantations de voirie;II.C.;05;N;0
1;2;3;;224;PATRIMOINE IMMOBILIER - OUVRAGES D’ART;;;;0
1;2;3;;2241;Terrains des ouvrages d’art;;;;0
1;2;3;;22411;Terrains des ouvrages d’art;II.D.;05;N;0
1;2;3;;22416;Réévaluation annuelle des terrains des ouvrages d’art;II.D.;05;N;0
1;2;3;;22417;Réévaluation exceptionnelle des terrains des ouvrages d’art;II.D.;05;N;0
1;2;3;;2242;Ouvrages d’art;;;;0
1;2;3;;22421;Ouvrages d’art;II.D.;05;N;0
1;2;3;;22422;Maintenance extraordinaire des ouvrages d’art;II.D.;05;N;0
1;2;3;;22428;Amortissement de la maintenance extraordinaire des ouvrages d’art;II.D.;05;N;0
1;2;3;;22429;Amortissement des ouvrages d’art;II.D.;05;N;0
1;2;3;;226;PATRIMOINE IMMOBILIER - COURS ET PLANS D’EAU;;;;0
1;2;3;;2261;Assiette des cours et plans d’eau;;;;0
1;2;3;;22611;Terrains des cours et plans d’eau;II.E.;05;N;0
1;2;3;;22616;Réévaluation annuelle des terrains des cours et plans d’eau;II.E.;05;N;0
1;2;3;;22617;Réévaluation exceptionnelle des terrains des cours et plans d’eau;II.E.;05;N;0
1;2;3;;2262;Cours et plans d’eau;;;;0
1;2;3;;22621;Cours et plans d’eau;II.E.;05;N;0
1;2;3;;22622;Maintenance extraordinaire des cours et plans d’eau;II.E.;05;N;0
1;2;3;;22628;Amortissement de la maintenance extraordinaire des cours et plans d’eau;II.E.;05;N;0
1;2;3;;22629;Amortissement des cours et plans d’eau;II.E.;05;N;0
1;2;3;;23;PATRIMOINE MOBILIER;;;;0
1;2;3;;230;PATRIMOINE MOBILIER - MOBILIER ET SIGNALISATION ROUTIERE;;;;0
1;2;3;;2301;Mobilier de bureau;;;;0
1;2;3;;23011;Mobilier;II.F.;05/06;O;0
1;2;3;;23019;Amortissement du mobilier;II.F.;05/06;N;0
1;2;3;;2302;Signalisation routière et petits équipements de voirie;;;;0
1;2;3;;23021;Signalisation routière et petits équipements de voirie;II.F.;05/06;O;0
1;2;3;;23029;Amortissement de la signalisation routière et des petits équipements de voirie;II.F.;05/06;N;0
1;2;3;;231;PATRIMOINE MOBILIER - MATERIEL DE BUREAU;;;;0
1;2;3;;2311;Matériel de bureau;;;;0
1;2;3;;23111;Matériel de bureau;II.F.;05/06;O;0
1;2;3;;23119;Amortissement de matériel de bureau;II.F.;05/06;N;0
1;2;3;;2312;Matériel de reprographie;;;;0
1;2;3;;23121;Matériel de reprographie;II.F.;05/06;O;0
1;2;3;;23129;Amortissement du matériel de reprographie;II.F.;05/06;N;0
1;2;3;;2313;Matériel informatique;;;;0
1;2;3;;23131;Matériel informatique;II.F.;05/06;O;0
1;2;3;;23139;Amortissement du matériel informatique;II.F.;05/06;N;0
1;2;3;;2314;Matériel de téléphonie;;;;0
1;2;3;;23141;Matériel de téléphonie;II.F.;05/06;O;0
1;2;3;;23149;Amortissement du matériel de téléphonie;II.F.;05/06;N;0
1;2;3;;232;PATRIMOINE MOBILIER - MATERIEL DE TRANSPORT;;;;0
1;2;3;;2321;Motos, vélos, vélomoteurs et assimilés;;;;0
1;2;3;;23211;Motos, vélos, vélomoteurs et assimilés;II.F.;05/06;O;0
1;2;3;;23219;Amortissement des motos, vélos, vélomoteurs et assimilés;II.F.;05/06;N;0
1;2;3;;2322;Autos et camionnettes;;;;0
1;2;3;;23221;Autos et camionnettes;II.F.;05;O;0
1;2;3;;23222;Maintenance extraordinaire des autos et camionnettes;II.F.;05;O;0
1;2;3;;23228;Amortissement de la maintenance extraordinaire des autos et des camionnettes;II.F.;05;N;0
1;2;3;;23229;Amortissement des autos et des camionnettes;II.F.;05;N;0
1;2;3;;2323;Camions et véhicules spéciaux;;;;0
1;2;3;;23231;Camions et véhicules spéciaux;II.F.;05;O;0
1;2;3;;23232;Maintenance extraordinaire des camions et des véhicules spéciaux;II.F.;05;O;0
1;2;3;;23238;Amortissement de la maintenance extraordinaire des camions et véhicules spéciaux;II.F.;05;N;0
1;2;3;;23239;Amortissement des camions et véhicules spéciaux;II.F.;05;N;0
1;2;3;;233;PATRIMOINE MOBILIER - MATERIEL D’EQUIPEMENT ET D’EXPLOITATION;;;;0
1;2;3;;2330;Matériel d’équipement et d’exploitation;;;;0
1;2;3;;23301;Matériel d’équipement et d’exploitation;II.F.;05;O;0
1;2;3;;23302;Maintenance extraordinaire du matériel d’équipement et d’exploitation;II.F.;05;O;0
1;2;3;;23308;Amortissement de la maintenance extraordinaire du matériel d’équipement et d’exploitation;II.F.;05;N;0
1;2;3;;23309;Amortissement du matériel d’équipement et d’exploitation;II.F.;05;N;0
1;2;3;;23391;Machines, matériel d’équipement et d’exploitation amortissable en 5 ans;II.F.;05;O;0
1;2;3;;23399;Amortissement des machines, matériel d’équipement et d’exploitation amortissable en 5 ans;II.F.;05;N;0
1;2;3;;234;PATRIMOINE MOBILIERS DIVERS;;;;0
1;2;3;;2340;Patrimoine artistique;;;;0
1;2;3;;23401;Œuvres d'art;II.G.;05;O;0
